Itemset,Size,Support,Pattern,Bridges,Distance,Compactness,Category
"{other vegetables, whole milk}",2,0.09588327253778009,Direct,0,10.429347825978185,1.0,Fundamental
"{rolls/buns, whole milk}",2,0.07256383533090151,Direct,0,13.780969479163765,1.0,Fundamental
"{whole milk, yogurt}",2,0.07178217821782178,Direct,0,13.931034482564547,1.0,Fundamental
"{root vegetables, whole milk}",2,0.06266284523189161,Direct,0,15.958419958165285,1.0,Fundamental
"{whole milk, tropical fruit}",2,0.05419489317352788,Direct,0,18.451923076582602,1.0,Fundamental
"{whole milk, soda}",2,0.05132881709223554,Direct,0,19.482233502158515,1.0,Fundamental
"{whole milk, bottled water}",2,0.0440333507034914,Direct,0,22.710059171081888,1.0,Fundamental
"{whole milk, pastry}",2,0.04260031266284523,Direct,0,23.474006115656923,1.0,Fundamental
"{whole milk, whipped/sour cream}",2,0.04129755080771235,Direct,0,24.214511040423123,1.0,Fundamental
"{rolls/buns, sausage}",2,0.03921313183949974,Direct,0,25.501661128917775,1.0,Fundamental
"{whole milk, citrus fruit}",2,0.03908285565398645,Direct,0,25.586666666011993,1.0,Fundamental
"{whole milk, pip fruit}",2,0.0385617509119333,Direct,0,25.932432431759942,1.0,Fundamental
"{whole milk, domestic eggs}",2,0.03843147472642001,Direct,0,26.020338982373794,1.0,Fundamental
"{whole milk, butter}",2,0.0353048462741011,Direct,0,28.32472324643018,1.0,Fundamental
"{whole milk, newspapers}",2,0.035044293903074515,Direct,0,28.53531598431585,1.0,Fundamental
"{whole milk, fruit/vegetable juice}",2,0.0341323606044815,Direct,0,29.29770992280577,1.0,Fundamental
"{whole milk, curd}",2,0.03348097967691506,Direct,0,29.867704279263563,1.0,Fundamental
"{whole milk, brown bread}",2,0.03230849400729546,Direct,0,30.951612902267808,1.0,Moderate
"{soda, shopping bags}",2,0.03152683689421574,Direct,0,31.719008263456715,1.0,Moderate
"{whole milk, margarine}",2,0.031005732152162586,Direct,0,32.252100839295935,1.0,Moderate
"{whole milk, pork}",2,0.02840020844189682,Direct,0,35.211009173072114,1.0,Moderate
"{beef, whole milk}",2,0.027227722772277228,Direct,0,36.72727272592384,1.0,Moderate
"{whole milk, frankfurter}",2,0.02631578947368421,Direct,0,37.99999999855601,1.0,Moderate
"{whole milk, bottled beer}",2,0.02618551328817092,Direct,0,38.18905472490976,1.0,Moderate
"{whole milk, frozen vegetables}",2,0.02618551328817092,Direct,0,38.18905472490976,1.0,Moderate
"{whole milk, napkins}",2,0.025273579989577907,Direct,0,39.5670103077128,1.0,Moderate
"{whole milk, coffee}",2,0.023970818134445022,Direct,0,41.71739130260749,1.0,Moderate
"{other vegetables, chicken}",2,0.022928608650338717,Direct,0,43.61363636173422,1.0,Moderate
"{whole milk, white bread}",2,0.021886399166232414,Direct,0,45.69047618838857,1.0,Moderate
"{whole milk, chocolate}",2,0.02136529442417926,Direct,0,46.80487804658979,1.0,Moderate
"{whole milk, cream cheese}",2,0.021104742053152683,Direct,0,47.3827160471376,1.0,Moderate
"{whole milk, sugar}",2,0.01928087545596665,Direct,0,51.864864862174905,1.0,Moderate
"{whole milk, hamburger meat}",2,0.018890046899426784,Direct,0,52.93793103168034,1.0,Moderate
"{other vegetables, onions}",2,0.018238665971860343,Direct,0,54.828571425565265,1.0,Moderate
"{soda, canned beer}",2,0.01771756122980719,Direct,0,56.441176467402634,1.0,Moderate
"{whole milk, dessert}",2,0.017587285044293903,Direct,0,56.85925925602629,1.0,Moderate
"{whole milk, long life bakery product}",2,0.017326732673267328,Direct,0,57.714285710954776,1.0,Moderate
"{whole milk, hygiene articles}",2,0.01641479937467431,Direct,0,60.9206349169236,1.0,Niche
"{whole milk, waffles}",2,0.016284523189161022,Direct,0,61.40799999622906,1.0,Niche
"{whole milk, berries}",2,0.015112037519541427,Direct,0,66.17241378872465,1.0,Niche
"{'whole milk', 'rolls/buns', 'other vegetables'}",3,0.022928608650338717,Complex,2,24.21031730514195,0.33333333333333337,Fundamental
"{'whole milk', 'other vegetables', 'yogurt'}",3,0.02853048462741011,Complex,2,24.360382308542732,0.33333333333333337,Fundamental
"{'whole milk', 'root vegetables', 'other vegetables'}",3,0.0297029702970297,Complex,2,26.38776778414347,0.33333333333333337,Fundamental
"{'whole milk', 'rolls/buns', 'yogurt'}",3,0.01993225638353309,Complex,2,27.712003961728314,0.33333333333333337,Fundamental
"{'whole milk', 'tropical fruit', 'other vegetables'}",3,0.021886399166232414,Complex,2,28.881270902560786,0.33333333333333337,Fundamental
"{'whole milk', 'rolls/buns', 'root vegetables'}",3,0.016284523189161022,Complex,2,29.739389437329052,0.33333333333333337,Fundamental
"{'whole milk', 'root vegetables', 'yogurt'}",3,0.01862949452840021,Complex,2,29.889454440729832,0.33333333333333337,Fundamental
"{'whole milk', 'soda', 'other vegetables'}",3,0.017847837415320478,Complex,2,29.9115813281367,0.33333333333333337,Fundamental
"{'whole milk', 'tropical fruit', 'yogurt'}",3,0.019411151641479937,Complex,2,32.38295755914715,0.33333333333333337,Moderate
"{'whole milk', 'tropical fruit', 'root vegetables'}",3,0.015372589890568004,Complex,2,34.41034303474789,0.33333333333333337,Moderate
"{'whole milk', 'whipped/sour cream', 'other vegetables'}",3,0.018759770713913496,Complex,2,34.64385886640131,0.33333333333333337,Moderate
"{'whole milk', 'citrus fruit', 'other vegetables'}",3,0.016675351745700884,Complex,2,36.01601449199018,0.33333333333333337,Moderate
"{'pip fruit', 'whole milk', 'other vegetables'}",3,0.017326732673267328,Complex,2,36.361780257738125,0.33333333333333337,Moderate
"{'whole milk', 'other vegetables', 'domestic eggs'}",3,0.01576341844710787,Complex,2,36.44968680835198,0.33333333333333337,Moderate
"{'rolls/buns', 'root vegetables', 'other vegetables'}",3,0.015633142261594582,Complex,3,40.168737263307236,0.0,Moderate
"{'root vegetables', 'other vegetables', 'yogurt'}",3,0.016545075560187597,Complex,3,40.31880226670802,0.0,Moderate
"{'tropical fruit', 'other vegetables', 'yogurt'}",3,0.01576341844710787,Complex,3,42.812305385125335,0.0,Moderate
"{'tropical fruit', 'root vegetables', 'other vegetables'}",3,0.01576341844710787,Complex,3,44.83969086072607,0.0,Moderate
